cell,family,regime,method,true_limit,measured_limit,hazard,discontinuity,decision,covered_seed,violations_seed,utility_seed
8,brittle_low_limit_pockets,dense_discontinuities,random_force,0.162,0.179,0.709,1,sample_force_without_certificate,63.0,100.0,-539.400
24,brittle_low_limit_pockets,dense_discontinuities,random_force,0.561,0.557,0.180,0,sample_force_without_certificate,63.0,100.0,-539.400
47,brittle_low_limit_pockets,dense_discontinuities,random_force,0.443,0.435,0.180,0,sample_force_without_certificate,63.0,100.0,-539.400
72,brittle_low_limit_pockets,dense_discontinuities,random_force,0.177,0.171,0.742,1,sample_force_without_certificate,63.0,100.0,-539.400
113,brittle_low_limit_pockets,dense_discontinuities,random_force,0.116,0.116,0.775,1,sample_force_without_certificate,63.0,100.0,-539.400
140,brittle_low_limit_pockets,dense_discontinuities,random_force,0.432,0.432,0.180,0,sample_force_without_certificate,63.0,100.0,-539.400
167,brittle_low_limit_pockets,dense_discontinuities,random_force,0.535,0.527,0.180,0,sample_force_without_certificate,63.0,100.0,-539.400
188,brittle_low_limit_pockets,dense_discontinuities,random_force,0.161,0.151,0.778,1,sample_force_without_certificate,63.0,100.0,-539.400
8,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.162,0.179,0.709,1,low_force_probe,47.0,22.0,59.100
24,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.561,0.557,0.180,0,low_force_probe,47.0,22.0,59.100
47,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.443,0.435,0.180,0,low_force_probe,47.0,22.0,59.100
72,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.177,0.171,0.742,1,low_force_probe,47.0,22.0,59.100
113,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.116,0.116,0.775,1,low_force_probe,47.0,22.0,59.100
140,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.432,0.432,0.180,0,low_force_probe,47.0,22.0,59.100
167,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.535,0.527,0.180,0,low_force_probe,47.0,22.0,59.100
188,brittle_low_limit_pockets,dense_discontinuities,uniform_low_force,0.161,0.151,0.778,1,low_force_probe,47.0,22.0,59.100
8,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.162,0.179,0.709,1,certificate_boundary_test,0.0,1.0,-19.807
24,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.561,0.557,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
47,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.443,0.435,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
72,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.177,0.171,0.742,1,certificate_boundary_test,0.0,1.0,-19.807
113,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.116,0.116,0.775,1,certificate_boundary_test,0.0,1.0,-19.807
140,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.432,0.432,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
167,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.535,0.527,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
188,brittle_low_limit_pockets,dense_discontinuities,fixed_margin_certificate,0.161,0.151,0.778,1,certificate_boundary_test,0.0,1.0,-19.807
8,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.162,0.179,0.709,1,certificate_boundary_test,0.0,1.0,-19.807
24,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.561,0.557,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
47,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.443,0.435,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
72,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.177,0.171,0.742,1,certificate_boundary_test,0.0,1.0,-19.807
113,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.116,0.116,0.775,1,certificate_boundary_test,0.0,1.0,-19.807
140,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.432,0.432,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
167,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.535,0.527,0.180,0,expand_certified_frontier,0.0,1.0,-19.807
188,brittle_low_limit_pockets,dense_discontinuities,adaptive_margin_certificate,0.161,0.151,0.778,1,certificate_boundary_test,0.0,1.0,-19.807
8,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.162,0.179,0.709,1,pause_after_discontinuity_residual,0.0,1.0,-17.510
24,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.561,0.557,0.180,0,expand_certified_frontier,0.0,1.0,-17.510
47,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.443,0.435,0.180,0,expand_certified_frontier,0.0,1.0,-17.510
72,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.177,0.171,0.742,1,pause_after_discontinuity_residual,0.0,1.0,-17.510
113,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.116,0.116,0.775,1,pause_after_discontinuity_residual,0.0,1.0,-17.510
140,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.432,0.432,0.180,0,expand_certified_frontier,0.0,1.0,-17.510
167,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.535,0.527,0.180,0,expand_certified_frontier,0.0,1.0,-17.510
188,brittle_low_limit_pockets,dense_discontinuities,discontinuity_detector,0.161,0.151,0.778,1,pause_after_discontinuity_residual,0.0,1.0,-17.510
8,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.162,0.179,0.709,1,probe_true_safe_limit,153.0,0.0,255.163
24,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.561,0.557,0.180,0,probe_true_safe_limit,153.0,0.0,255.163
47,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.443,0.435,0.180,0,probe_true_safe_limit,153.0,0.0,255.163
72,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.177,0.171,0.742,1,probe_true_safe_limit,153.0,0.0,255.163
113,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.116,0.116,0.775,1,probe_true_safe_limit,153.0,0.0,255.163
140,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.432,0.432,0.180,0,probe_true_safe_limit,153.0,0.0,255.163
167,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.535,0.527,0.180,0,probe_true_safe_limit,153.0,0.0,255.163
188,brittle_low_limit_pockets,dense_discontinuities,oracle_limit_map,0.161,0.151,0.778,1,probe_true_safe_limit,153.0,0.0,255.163
8,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.162,0.179,0.709,1,unsafe_frontier_expansion,113.0,78.0,-342.689
24,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.561,0.557,0.180,0,expand_certified_frontier,113.0,78.0,-342.689
47,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.443,0.435,0.180,0,expand_certified_frontier,113.0,78.0,-342.689
72,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.177,0.171,0.742,1,unsafe_frontier_expansion,113.0,78.0,-342.689
113,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.116,0.116,0.775,1,unsafe_frontier_expansion,113.0,78.0,-342.689
140,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.432,0.432,0.180,0,expand_certified_frontier,113.0,78.0,-342.689
167,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.535,0.527,0.180,0,expand_certified_frontier,113.0,78.0,-342.689
188,brittle_low_limit_pockets,dense_discontinuities,overconfident_certificate,0.161,0.151,0.778,1,unsafe_frontier_expansion,113.0,78.0,-342.689
